nom,nom,nom,nom,num
A,S,J,O,AS,R
0,1,0,0,22502876.0,0
0,1,0,0,22469248.0,0
1,0,0,0,24138106.0,0
1,1,0,1,24138128.0,1
1,1,0,0,24138126.0,1
0,1,0,0,22695198.0,0
1,1,0,1,24137978.0,1
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
1,0,0,0,24138120.0,1
1,1,0,1,24138116.0,1
1,1,1,1,24131724.0,1
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,24138046.0,0
0,1,0,0,22695198.0,0
0,1,0,1,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22574204.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22447436.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,1,24138124.0,0
0,1,0,0,24138014.0,0
0,1,0,0,22695198.0,0
0,1,0,0,24138134.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22695198.0,0
0,1,0,0,22481918.0,0
1,1,0,0,24137920.0,1
0,1,0,0,24137932.0,0
0,1,1,1,24137596.0,1
1,0,1,0,24138122.0,1
1,1,0,1,24138128.0,1
0,0,1,0,24138126.0,0
1,0,0,0,24138108.0,0
0,1,0,0,24138110.0,0
0,1,0,0,24138006.0,0
1,1,0,0,24137956.0,1
0,0,1,0,24138060.0,0
1,1,0,1,24137908.0,1
0,1,0,0,24137972.0,0
1,0,0,0,24138124.0,0
0,1,0,0,22441158.0,0
0,0,1,0,24138124.0,0
0,0,1,0,24138124.0,0
0,1,0,0,3906780.0,0
0,1,0,0,3939500.0,0
0,1,0,0,24138112.0,0
1,0,1,0,24137946.0,1
1,0,0,0,24138126.0,1
0,1,0,0,24137934.0,0
1,1,0,0,24137552.0,1
1,1,0,0,24137552.0,1
0,0,1,0,24138060.0,0
0,1,0,0,24137894.0,0
0,1,0,0,24137870.0,1
0,1,0,0,24137930.0,1
1,0,0,0,24138082.0,0
1,1,0,0,24138002.0,1
0,1,0,1,24138130.0,1
0,1,0,0,24138064.0,0
0,1,0,0,24138042.0,0
0,0,1,0,24138134.0,0
0,1,0,0,24138006.0,0
0,1,0,0,24138034.0,1
1,0,0,0,24138136.0,1
1,1,0,1,24137952.0,1
1,1,1,1,24137680.0,1
0,1,0,0,22552036.0,0
0,1,0,0,22957310.0,0
1,1,0,1,24137990.0,1
0,1,0,0,24138118.0,1
1,1,0,1,24137942.0,1
1,1,0,0,24137942.0,1
0,1,0,0,24138136.0,0
0,1,0,1,24138054.0,0
1,0,0,0,24138044.0,0
1,1,0,0,24137936.0,1
1,0,0,0,24138120.0,1
0,1,0,0,24138006.0,0
1,1,1,0,24138086.0,1
0,1,1,0,24126948.0,1
1,1,1,0,24137942.0,1
1,0,0,0,24138134.0,0
0,1,0,0,23103180.0,0
1,1,0,0,24138114.0,1
1,0,0,0,24138124.0,1
1,1,1,0,24137978.0,1
1,1,1,1,24137954.0,1
1,0,1,0,24138130.0,1
1,1,1,1,24137928.0,1
0,1,0,0,24138004.0,0
1,1,0,1,24131724.0,1
0,1,0,0,24137870.0,1
0,1,0,0,24138054.0,1
0,1,0,0,24138014.0,0
0,1,0,0,24138134.0,0
1,1,0,1,24138114.0,1
1,1,0,0,24138132.0,1
0,1,0,0,24137900.0,0
