@relation whatever

@attribute CC numeric
@attribute APL numeric
@attribute AS numeric
@attribute R { 0 , 1 } 


@data
0.897250894 , 1.277654763 , 5268.760478 , 0 
0.897301109 , 1.278114635 , 5262.11897 , 0 
0.895948036 , 1.275988139 , 5527.388596 , 0 
0.895948036 , 1.275988303 , 5526.128205 , 1 
0.895948037 , 1.270954003 , 5527.393176 , 1 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895948368 , 1.210360416 , 5527.359286 , 1 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895948042 , 1.275936349 , 5527.391802 , 1 
0.895948036 , 1.275988662 , 5529.923482 , 1 
0.895936536 , 1.269592852 , 5524.662088 , 1 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895948042 , 1.275984321 , 5527.374857 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.897241322 , 1.27552961 , 5286.698829 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.89736265 , 1.278914832 , 5257.010773 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895948037 , 1.27598805 , 5527.392718 , 0 
0.895948057 , 1.275717893 , 5526.102106 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895948036 , 1.275988358 , 5526.129579 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.895810884 , 1.275795691 , 5313.790213 , 0 
0.897223148 , 1.277773915 , 5263.85343 , 0 
0.895948371 , 1.210303164 , 5529.87858 , 1 
0.895948042 , 1.275980882 , 5536.222936 , 0 
0.895948098 , 1.275533221 , 5531.071494 , 1 
0.895948042 , 1.275936315 , 5524.861982 , 1 
0.895948036 , 1.275988303 , 5526.128205 , 1 
0.895948036 , 1.275988425 , 5527.393176 , 0 
0.895948036 , 1.275988139 , 5527.389054 , 0 
0.895948037 , 1.27596546 , 5529.922108 , 0 
0.895948057 , 1.275717585 , 5526.100275 , 0 
0.895948369 , 1.210350429 , 5528.620247 , 1 
0.895948037 , 1.275987709 , 5526.112637 , 0 
0.895948371 , 1.210286253 , 5529.87583 , 1 
0.895948056 , 1.275718601 , 5533.693718 , 0 
0.895948036 , 1.275988527 , 5528.658727 , 0 
0.897358956 , 1.275825371 , 5255.540515 , 0 
0.895948036 , 1.275988425 , 5527.392718 , 0 
0.895948036 , 1.275988425 , 5527.392718 , 0 
0.949398962 , 1.301563261 , 1681.05852 , 0 
0.949738529 , 1.30461629 , 1695.867413 , 0 
0.895948037 , 1.269116083 , 5527.38997 , 0 
0.895948053 , 1.275871702 , 5534.956661 , 1 
0.895948038 , 1.275901806 , 5526.127747 , 1 
0.895948056 , 1.275722302 , 5532.416686 , 0 
0.895948095 , 1.275570408 , 5533.597432 , 1 
0.895948095 , 1.275570408 , 5533.597432 , 1 
0.895948037 , 1.275987709 , 5526.112637 , 0 
0.895948028 , 1.275992373 , 5543.843362 , 0 
0.895948065 , 1.27592212 , 5531.13428 , 1 
0.895948061 , 1.27592878 , 5528.614292 , 1 
0.895948036 , 1.27598883 , 5531.18286 , 0 
0.895948051 , 1.275929036 , 5529.897365 , 1 
0.895948036 , 1.275988425 , 5527.394092 , 1 
0.895948041 , 1.275988435 , 5527.378979 , 0 
0.895948041 , 1.275984329 , 5529.906529 , 0 
0.895948036 , 1.275988358 , 5526.129579 , 0 
0.895948057 , 1.275717585 , 5527.365697 , 0 
0.895948042 , 1.275984523 , 5531.171861 , 1 
0.895948036 , 1.275988324 , 5524.865187 , 1 
0.895948369 , 1.210350482 , 5529.885911 , 1 
0.895948076 , 1.275877673 , 5532.358469 , 1 
0.895377676 , 1.279726082 , 5281.50726 , 0 
0.894276923 , 1.280277284 , 5338.909302 , 0 
0.895948051 , 1.275914353 , 5528.628035 , 1 
0.895948039 , 1.261483399 , 5526.125916 , 1 
0.89594837 , 1.210348932 , 5527.351042 , 1 
0.89594837 , 1.210348932 , 5528.617041 , 1 
0.895948036 , 1.275988324 , 5524.865187 , 0 
0.895948039 , 1.275957191 , 5533.712517 , 0 
0.895948036 , 1.27598883 , 5531.174152 , 0 
0.895948371 , 1.210319438 , 5527.349668 , 1 
0.895948037 , 1.275988063 , 5528.65781 , 1 
0.895948057 , 1.275717585 , 5527.365697 , 0 
0.895948039 , 1.261482301 , 5532.451524 , 1 
0.895936998 , 1.209322217 , 5526.098946 , 1 
0.89594837 , 1.210348932 , 5528.617041 , 1 
0.895948036 , 1.275988358 , 5526.129579 , 0 
0.894634387 , 1.278539763 , 5364.100302 , 0 
0.895948167 , 1.269589664 , 5526.125 , 1 
0.895948037 , 1.275987995 , 5527.392718 , 1 
0.895948368 , 1.210360416 , 5527.359286 , 1 
0.89594837 , 1.210295339 , 5527.35379 , 1 
0.895948036 , 1.275988425 , 5527.394092 , 1 
0.895948371 , 1.210313368 , 5527.347836 , 1 
0.895948057 , 1.275717619 , 5528.631241 , 0 
0.895936536 , 1.269592852 , 5524.662088 , 1 
0.895948065 , 1.27592212 , 5531.13428 , 1 
0.895948044 , 1.261119312 , 5529.909278 , 1 
0.895948057 , 1.275717893 , 5526.102106 , 0 
0.895948036 , 1.275988358 , 5526.129579 , 0 
0.895948167 , 1.269589664 , 5527.390428 , 1 
0.895948036 , 1.275988303 , 5526.129121 , 1 
0.895948064 , 1.275954087 , 5528.607421 , 0 
0.895948036 , 1.275989168 , 5534.971337 , 0 
0.895948036 , 1.275988303 , 5526.129121 , 1 
0.89594804 , 1.275981669 , 5524.857862 , 1 
0.895948057 , 1.275717783 , 5526.10119 , 0 
0.895948042 , 1.275936315 , 5524.861982 , 1 
0.895936536 , 1.269592852 , 5524.662088 , 1 
0.895948081 , 1.275787715 , 5531.078368 , 1 
0.895948055 , 1.275722352 , 5540.020197 , 0 
0.895948037 , 1.275987136 , 5528.655978 , 0 
0.89594837 , 1.210347599 , 5529.879954 , 1 
0.89594804 , 1.265554386 , 5528.644984 , 1 
0.895948037 , 1.27598773 , 5526.124084 , 0 
0.895948055 , 1.275726519 , 5529.8937 , 0 
0.895948036 , 1.275988425 , 5527.39226 , 0 
0.895948036 , 1.275988999 , 5532.436397 , 0 
0.89594837 , 1.210349005 , 5528.617499 , 1 
0.895948037 , 1.269116083 , 5527.38997 , 1 
0.895948068 , 1.27589462 , 5529.86071 , 1 
0.895948368 , 1.210360389 , 5526.094322 , 1 
