EID,R,Year
2-s2.0-84924140182,0,2015
2-s2.0-84925446345,0,2015
2-s2.0-84925431271,0,2015
2-s2.0-84925302004,0,2015
2-s2.0-84924362991,0,2015
2-s2.0-84925652431,0,2015
2-s2.0-84922369187,0,2015
2-s2.0-84923816343,0,2015
2-s2.0-84923788444,0,2015
2-s2.0-84923377388,0,2015
2-s2.0-84922781845,0,2015
2-s2.0-84924584808,0,2015
2-s2.0-84922781647,0,2015
2-s2.0-84920268485,0,2015
2-s2.0-84922362368,0,2015
2-s2.0-84922375087,0,2015
2-s2.0-84921459273,0,2015
2-s2.0-84918562672,0,2015
2-s2.0-84921733797,0,2015
2-s2.0-84921417485,0,2015
2-s2.0-84922439965,0,2015
2-s2.0-84920267273,0,2015
2-s2.0-84908205533,0,2015
2-s2.0-84920736365,0,2015
2-s2.0-84923795419,0,2015
2-s2.0-84924667085,0,2015
2-s2.0-84921327988,0,2015
2-s2.0-84916224164,0,2015
2-s2.0-84920971353,0,2015
2-s2.0-84920518029,0,2015
2-s2.0-84920540213,0,2015
2-s2.0-84921407514,0,2015
2-s2.0-84921048039,0,2015
2-s2.0-84922570538,0,2015
2-s2.0-84910155402,0,2015
2-s2.0-84924995960,0,2015
2-s2.0-84919915970,0,2014
2-s2.0-84918812378,0,2014
2-s2.0-84918787644,0,2014
2-s2.0-84910079482,0,2014
2-s2.0-84918815439,0,2014
2-s2.0-84914697722,0,2014
2-s2.0-84906691312,0,2014
2-s2.0-84916899473,0,2014
2-s2.0-84924620013,0,2014
2-s2.0-84911909728,0,2014
2-s2.0-84913529131,0,2014
2-s2.0-84910031251,0,2014
2-s2.0-84905020380,0,2014
2-s2.0-84914811955,0,2014
2-s2.0-84922423185,0,2014
2-s2.0-84904171749,0,2014
2-s2.0-84911445820,0,2014
2-s2.0-84908042688,0,2014
2-s2.0-84908177088,0,2014
2-s2.0-84901652987,0,2014
2-s2.0-84907814963,0,2014
2-s2.0-84908230588,0,2014
2-s2.0-84908451741,0,2014
2-s2.0-84919341391,0,2014
2-s2.0-84908424379,0,2014
2-s2.0-84908430599,0,2014
2-s2.0-84909581148,0,2014
2-s2.0-84907266414,0,2014
2-s2.0-84901843724,0,2014
2-s2.0-84904577780,0,2014
2-s2.0-84904280646,0,2014
2-s2.0-84907327700,0,2014
2-s2.0-84906842658,0,2014
2-s2.0-84909942527,0,2014
2-s2.0-84924025032,0,2014
2-s2.0-84922834050,0,2014
2-s2.0-84922834125,0,2014
2-s2.0-84922833302,0,2014
2-s2.0-84902684919,0,2014
2-s2.0-84922834193,0,2014
2-s2.0-84909982772,0,2014
2-s2.0-84903761045,0,2014
2-s2.0-84925364950,0,2014
2-s2.0-84904559255,0,2014
2-s2.0-84904226359,0,2014
2-s2.0-84903639108,0,2014
2-s2.0-84901981846,0,2014
2-s2.0-84898062822,0,2014
2-s2.0-84902344858,0,2014
2-s2.0-84902336239,0,2014
2-s2.0-84894648959,0,2014
2-s2.0-84901989910,0,2014
2-s2.0-84901981282,0,2014
2-s2.0-84901024806,0,2014
2-s2.0-84901044325,0,2014
2-s2.0-84900854694,0,2014
2-s2.0-84900541373,0,2014
2-s2.0-84899876401,0,2014
2-s2.0-84899724330,0,2014
2-s2.0-84899579069,0,2014
2-s2.0-84898978600,0,2014
2-s2.0-84900834043,0,2014
2-s2.0-84899764938,0,2014
2-s2.0-84898652890,0,2014
2-s2.0-84897806453,0,2014
2-s2.0-84898612233,0,2014
2-s2.0-84897384747,0,2014
2-s2.0-84893835769,0,2014
2-s2.0-84890914182,0,2014
2-s2.0-84904720124,0,2014
2-s2.0-84894523111,0,2014
2-s2.0-84893696905,0,2014
2-s2.0-84894570105,0,2014
2-s2.0-84892742016,0,2014
2-s2.0-84894453426,0,2014
2-s2.0-84894322444,0,2014
2-s2.0-84894569688,0,2014
2-s2.0-84892728617,0,2014
2-s2.0-84894276557,0,2014
2-s2.0-84908333593,0,2014
2-s2.0-84911916249,0,2014
2-s2.0-84900022184,0,2014
2-s2.0-84919771477,0,2014
2-s2.0-84907232488,0,2014
2-s2.0-84893947086,0,2014
2-s2.0-84925634330,0,2014
2-s2.0-84903522296,0,2014
2-s2.0-84904352675,0,2014
2-s2.0-84908310651,0,2014
2-s2.0-84912086314,0,2014
2-s2.0-84900021220,0,2014
2-s2.0-84911986087,0,2014
2-s2.0-84901649028,0,2014
2-s2.0-84920093388,0,2014
2-s2.0-84904413960,0,2014
2-s2.0-84901193453,0,2014
2-s2.0-84919906986,0,2014
2-s2.0-84902212095,0,2014
2-s2.0-84901228040,0,2014
2-s2.0-84903712738,0,2014
2-s2.0-84901492495,0,2014
2-s2.0-84908215227,0,2014
2-s2.0-84907202703,0,2014
2-s2.0-84912122719,0,2014
2-s2.0-84901621627,0,2014
