@relation whatever

@attribute A {0,1}
@attribute S {1,0}
@attribute J {0,1}
@attribute O {0,1}
@attribute AD numeric
@attribute CC numeric
@attribute APL numeric
@attribute R {0,1}

@data
0,0,1,0,4376,0.683414,2.807911,0
0,0,1,0,4.382353,0.683481,2.808458,0
0,0,1,0,4.381842,0.683414,2.807911,0
0,0,1,0,4.356091,0.685723,2.699529,0
0,0,1,0,4.342704,0.689593,2.464528,0
0,0,1,0,4.380187,0.683361,2.809129,0
0,0,1,0,4.382353,0.683481,2.808458,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,1,0,1,4.31593,0.687377,2.834347,1
0,0,1,0,4.383378,0.68304,2.809253,0
1,1,1,1,4.345382,0.690811,2.681311,1
1,1,0,1,4.230041,0.681298,2.838475,1
1,1,1,1,4.365101,0.685035,2.804651,1
0,0,1,0,4.36193,0.685969,2.811682,0
0,1,0,0,4.253028,0.676935,2.832278,0
0,0,1,0,4.385027,0.683414,2.808135,0
1,1,0,0,4.328877,0.698268,2.698263,1
1,1,0,1,4.350267,0.690559,2.679863,1
1,1,0,1,4.385027,0.683414,2.808135,1
1,1,0,1,4.323529,0.682137,2.811412,1
0,1,0,1,4.32664,0.69633,2.816612,1
1,1,0,1,4.323529,0.682137,2.811412,1
1,1,0,1,4.379679,0.683455,2.808782,1
1,1,0,1,4.360963,0.683867,2.802051,1
1,1,0,1,4.339572,0.690811,2.681311,1
0,1,0,0,4.234501,0.675282,2.834052,0
0,1,0,0,4.356568,0.685723,2.813394,0
0,0,1,0,4.343164,0.684757,2.816658,0
0,0,1,0,4.343624,0.684893,2.817294,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,1,0,0,4.256757,0.676938,2.830701,0
0,0,1,0,4.373154,0.682787,2.810898,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.381842,0.683414,2.807911,0
1,0,0,0,4.369478,0.683795,2.81005,0
0,0,1,0,4.329759,0.694656,2.832109,0
0,0,1,0,4.382865,0.683656,2.808526,0
0,1,0,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.381842,0.683414,2.807911,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.345845,0.686948,2.816176,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.378523,0.682477,2.810149,0
0,0,1,0,4.357047,0.684038,2.680277,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.364123,0.685257,2.811139,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.369478,0.682881,2.810225,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.374332,0.685317,2.806208,0
0,0,1,0,4.369478,0.683945,2.560189,0
0,1,0,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.322148,0.694566,2.833505,0
