@relation whatever

@attribute A {0,1}
@attribute S {1,0}
@attribute J {0,1}
@attribute O {0,1}
@attribute AD numeric
@attribute CC numeric
@attribute APL numeric
@attribute R {0,1}

@data
0,1,0,0,4.236878,0.677546,2.827651,0
0,1,0,0,4.385027,0.683414,2.808135,0
1,0,0,0,4376,0.683414,2.807911,0
0,1,0,0,4.340027,0.68518,2.818136,0
0,0,1,0,4.345382,0.68688,2.815622,0
0,0,1,0,4.364611,0.684967,2.810587,0
1,1,0,1,4.350736,0.684353,2.808085,1
0,1,0,0,4.383378,0.68304,2.809253,0
1,1,1,1,4.34492,0.684353,2.808085,1
0,0,1,0,4.364611,0.684237,2.813777,0
1,1,0,0,4.358768,0.687189,2.805762,1
0,0,1,0,4.374833,0.684185,2.807481,0
0,0,1,0,4.356091,0.685383,2.81243,0
0,0,1,0,4.369478,0.68366,2.809896,0
0,0,1,0,4.33244,0.689735,2.486316,0
0,0,1,0,4.329317,0.69475,2.831637,0
0,1,0,0,4.286486,0.67651,2.829311,0
1,1,0,1,4.329317,0.698339,2.698866,1
1,1,0,1,4.358768,0.685995,2.805709,1
0,0,1,0,4.385542,0.68332,2.808582,0
1,1,1,1,4.358768,0.685995,2.805709,1
0,1,0,0,4.167794,0.672629,2.839064,0
0,0,1,0,4.366801,0.684741,2.473549,0
0,1,1,0,4.284564,0.703212,2.70769,1
0,1,0,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.380187,0.684034,2.809855,0
0,1,0,1,4.329317,0.698339,2.698866,1
0,0,1,0,4.372155,0.684429,2.8095,0
0,0,1,0,4.367785,0.683664,2.603173,0
0,0,1,0,4.383378,0.68304,2.809253,0
1,1,1,1,4.378523,0.682477,2.810149,1
0,1,0,0,4.293405,0.687745,2.83126,0
0,1,0,0,4.383378,0.68304,2.809253,0
1,0,0,0,4.371658,0.684185,2.807256,1
0,1,0,0,4.382865,0.683455,2.809005,1
0,0,1,0,4.371658,0.683593,2.712625,0
0,0,1,0,4.329759,0.689873,2.486595,0
1,1,0,0,4.328877,0.698268,2.698263,1
0,1,1,1,4.303356,0.694953,2.744033,1
0,0,1,0,4.314094,0.691956,2.384955,0
0,1,0,0,4.342704,0.683994,2.815471,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.31593,0.691442,2.398512,0
1,1,0,1,4.361446,0.685927,2.805381,1
1,1,0,1,4.385027,0.683414,2.808135,1
1,0,0,0,4.378523,0.682477,2.810149,0
0,1,0,0,4.300671,0.687462,2.827815,0
0,0,1,0,4.382353,0.683481,2.808458,0
1,1,1,1,4.348059,0.690604,2.680778,1
0,0,1,0,4.371658,0.683593,2.712625,0
1,0,0,0,4.313514,0.671797,2.818024,0
0,1,0,1,4.329317,0.698339,2.698866,1
0,0,1,0,4.369478,0.68366,2.809896,0
0,0,1,0,4.351678,0.686469,2.807227,0
0,0,1,0,4.345845,0.684851,2.816408,0
1,0,1,0,4.341398,0.684179,2.818694,0
0,0,1,0,4.380187,0.685114,2.806585,0
0,0,1,0,4.381842,0.683414,2.807911,0
0,0,1,0,4.362416,0.683115,2.719615,0
0,0,1,0,4.352151,0.684578,2.739316,0
0,0,1,0,4.385542,0.68332,2.808582,0
1,1,1,1,4.345382,0.685493,2.807256,1
0,0,1,0,4.345382,0.68688,2.815622,0
1,0,0,0,4.378523,0.682477,2.810149,0
0,1,0,0,4.186739,0.672188,2.835433,0
0,0,1,0,4.345382,0.688343,2.482321,0
0,0,1,0,4.379679,0.684869,2.805754,0
0,0,1,0,4.31593,0.691442,2.398512,0
0,0,1,0,4.382353,0.683481,2.808458,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.343164,0.685945,2.814511,0
0,0,1,0,4.350736,0.686312,2.690363,0
1,1,1,1,4.359732,0.686438,2.723921,1
1,1,1,1,4.385027,0.683414,2.808135,1
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.378523,0.682477,2.810149,0
0,0,1,0,4.380187,0.684304,2.790424,0
0,0,1,0,4.380187,0.683361,2.809129,0
0,0,1,0,4.378523,0.682477,2.810149,0
1,1,0,1,4.271141,0.683133,2.829077,1
1,0,1,0,4.359732,0.685663,2.804071,1
1,0,0,0,4.383378,0.68304,2.809253,0
1,1,0,1,4.32664,0.69633,2.816612,1
