@relation whatever

@attribute A { 0 , 1 } 
@attribute S { 0 , 1 } 
@attribute J { 0 , 1 } 
@attribute O { 0 , 1 } 
@attribute W numeric
@attribute R { 0 , 1 } 


@data
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 1 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
0 , 0 , 0 , 0 , 1048.0 , 0 
