@relation whatever

@attribute CC numeric
@attribute APL numeric
@attribute AS numeric
@attribute R { 0 , 1 } 


@data
0.651484951 , 4.709505956 , 5.724503311 , 0 
0.647468181 , 4.770143956 , 6.007894737 , 0 
0.64552067 , 4.772226826 , 5.986772487 , 0 
0.648087534 , 4.787541713 , 5.963109354 , 0 
0.65098003 , 4.784070585 , 5.95256917 , 0 
0.647080392 , 4.770887574 , 6.01055409 , 0 
0.647724086 , 4.794077522 , 5.95256917 , 1 
0.647080392 , 4.770887574 , 6.01055409 , 0 
0.647724086 , 4.794077522 , 5.944736842 , 1 
0.648095194 , 4.672651585 , 5.992084433 , 0 
0.65095388 , 4.77194891 , 5.963109354 , 1 
0.648566703 , 4.805028406 , 6 , 0 
0.649396146 , 4.633967727 , 5.978919631 , 0 
0.647480033 , 4.771880672 , 5.978919631 , 0 
0.650217572 , 4.816333446 , 5.965699208 , 0 
0.647371313 , 4.770441368 , 6.010540184 , 0 
0.643881599 , 4.792383146 , 5.79787234 , 0 
0.658983051 , 4.648580189 , 5.881422925 , 1 
0.649598671 , 4.778403681 , 5.981554677 , 1 
0.648037503 , 4.730609614 , 5.994729908 , 0 
0.649598671 , 4.778403681 , 5.981554677 , 1 
0.652201864 , 4.70299295 , 5.531291611 , 0 
0.649598671 , 4.687454708 , 5.978919631 , 0 
0.657655937 , 4.702029175 , 5.870541612 , 1 
0.647080392 , 4.770887574 , 6.002638522 , 0 
0.649678013 , 4.651497472 , 5.989459816 , 0 
0.658983051 , 4.648580189 , 5.881422925 , 1 
0.648171964 , 4.72161792 , 5.997364954 , 0 
0.647529672 , 4.63216818 , 5.997357992 , 0 
0.648574057 , 4.754118984 , 6.002638522 , 0 
0.656390555 , 4.73872638 , 5.931307794 , 1 
0.649275086 , 4.798269744 , 5.909933775 , 0 
0.64725839 , 4.771364318 , 6.005277045 , 0 
0.647346562 , 4.782494015 , 5.978947368 , 1 
0.647489923 , 4.770808679 , 6.007905138 , 1 
0.647539479 , 4.70228454 , 5.994736842 , 0 
0.648738258 , 4.698648312 , 5.98944591 , 0 
0.658919233 , 4.648138274 , 5.881578947 , 1 
0.653216704 , 4.779835478 , 5.926023778 , 1 
0.657487418 , 4.212492737 , 5.896961691 , 0 
0.647212381 , 4.777843696 , 5.957839262 , 0 
0.649737786 , 4.788057795 , 5.997364954 , 0 
0.656747536 , 4.261879019 , 5.894598155 , 0 
0.649538745 , 4.778143594 , 5.984189723 , 1 
0.647468181 , 4.770143956 , 6.007894737 , 1 
0.646497108 , 4.77148268 , 5.997357992 , 0 
0.649026128 , 4.795729764 , 5.910171731 , 0 
0.647527473 , 4.770401925 , 6.005263158 , 0 
0.656530689 , 4.737414846 , 5.926218709 , 1 
0.647539479 , 4.70228454 , 5.994736842 , 0 
0.635451188 , 4.776697878 , 5.789893617 , 0 
0.658983051 , 4.648580189 , 5.881422925 , 1 
0.647480033 , 4.771880672 , 5.978919631 , 0 
0.6510674 , 5.275933949 , 5.978863937 , 0 
0.648467967 , 4.779738821 , 5.926121372 , 0 
0.649026367 , 4.785180474 , 5.936507937 , 0 
0.648284089 , 4.776666667 , 6.005270092 , 0 
0.647468181 , 4.769995267 , 6.002628121 , 0 
0.646955069 , 4.712825963 , 5.973579921 , 0 
0.64552067 , 4.772226826 , 6.002645503 , 0 
0.647371313 , 4.770441368 , 6.010540184 , 0 
0.648783646 , 4.779811051 , 5.960474308 , 1 
0.650552102 , 4.785597837 , 5.939393939 , 0 
0.646497108 , 4.77148268 , 6.007926024 , 0 
0.652592197 , 4.701796966 , 5.549933422 , 0 
0.649495977 , 4.748261653 , 5.965744401 , 0 
0.648916636 , 4.767372085 , 5.994736842 , 0 
0.658886551 , 4.26325139 , 5.873517787 , 0 
0.647468181 , 4.770143956 , 6.007894737 , 0 
0.648648649 , 4.857971715 , 5.978919631 , 0 
0.647577093 , 4.776461233 , 6.005277045 , 0 
0.648558758 , 4.630557215 , 5.970976253 , 0 
0.648738258 , 4.698494962 , 5.984189723 , 0 
0.657306536 , 4.742420213 , 5.907529723 , 1 
0.647468181 , 4.770143956 , 6.007894737 , 1 
0.647080392 , 4.770887574 , 6.01055409 , 0 
0.646497108 , 4.77148268 , 6.007926024 , 0 
0.648522122 , 4.768536274 , 6 , 0 
0.647393018 , 4.770848126 , 5.994729908 , 0 
0.646497108 , 4.77148268 , 6.007926024 , 0 
0.649094728 , 4.847191289 , 5.793923382 , 1 
0.649401281 , 4.754720837 , 5.970937913 , 1 
0.647080392 , 4.770887574 , 5.994722955 , 0 
0.648462598 , 4.770440504 , 6.002635046 , 1 
0.647468181 , 4.770143956 , 6.007894737 , 1 
0.656407858 , 4.737172682 , 5.928759894 , 1 
0.648738258 , 4.628031885 , 5.986824769 , 0 
0.64867102 , 4.629997876 , 5.994722955 , 0 
0.648358702 , 4.774979209 , 6.005263158 , 1 
0.656407858 , 4.737172682 , 5.920948617 , 1 
