@relation whatever

@attribute A { 0 , 1 } 
@attribute S { 1 , 0 } 
@attribute J { 0 , 1 } 
@attribute O { 0 , 1 } 
@attribute AD numeric
@attribute CC numeric
@attribute APL numeric
@attribute AS numeric
@attribute R { 0 , 1 } 


@data
0 , 1 , 0 , 0 , 4.3641025641 , 0.683376548545 , 2.81885376393 , 4.98461538462 , 0 
0 , 1 , 0 , 0 , 4.50445859873 , 0.688085441653 , 2.80123526109 , 5.2050955414 , 0 
1 , 0 , 0 , 0 , 4.4814340589 , 0.68821192053 , 2.80656892829 , 5.18565941101 , 0 
0 , 1 , 0 , 0 , 4.46173469388 , 0.691356918943 , 2.81030062922 , 5.16071428571 , 0 
0 , 0 , 1 , 0 , 4.46683673469 , 0.691207627119 , 2.80798371593 , 5.15306122449 , 0 
0 , 0 , 1 , 0 , 4.48531289911 , 0.68950013224 , 2.8033682294 , 5.1877394636 , 0 
1 , 1 , 0 , 1 , 4.47193877551 , 0.68901187182 , 2.80099330099 , 5.14795918367 , 1 
0 , 1 , 0 , 0 , 4.50319284802 , 0.687757427044 , 2.80224719101 , 5.20561941252 , 0 
1 , 1 , 1 , 1 , 4.46624203822 , 0.68901187182 , 2.80099330099 , 5.14140127389 , 1 
0 , 0 , 1 , 0 , 4.48531289911 , 0.689153439153 , 2.80588703262 , 5.1877394636 , 0 
1 , 1 , 0 , 0 , 4.47959183673 , 0.691491243587 , 2.79897318882 , 5.17091836735 , 1 
0 , 0 , 1 , 0 , 4.49489795918 , 0.6887835703 , 2.80058850158 , 5.19642857143 , 0 
0 , 0 , 1 , 0 , 4.47704081633 , 0.68986784141 , 2.80504717517 , 5.16836734694 , 0 
0 , 0 , 1 , 0 , 4.48979591837 , 0.68831738787 , 2.80281531532 , 5.18112244898 , 0 
0 , 0 , 1 , 0 , 4.45466155811 , 0.693790149893 , 2.39212032477 , 5.14942528736 , 0 
0 , 0 , 1 , 0 , 4.45153061224 , 0.698285198556 , 2.82224035435 , 5.14285714286 , 0 
0 , 1 , 0 , 0 , 4.41184041184 , 0.682233502538 , 2.8202954988 , 5.11196911197 , 0 
1 , 1 , 0 , 1 , 4.45153061224 , 0.7015824492 , 2.71875408978 , 5.13265306122 , 1 
1 , 1 , 0 , 1 , 4.47959183673 , 0.690415307292 , 2.79892791971 , 5.17857142857 , 1 
0 , 0 , 1 , 0 , 4.50510204082 , 0.688003502627 , 2.80163989666 , 5.20663265306 , 0 
1 , 1 , 1 , 1 , 4.47959183673 , 0.690415307292 , 2.79892791971 , 5.17857142857 , 1 
0 , 1 , 0 , 0 , 4.29896907216 , 0.679222956316 , 2.82913133165 , 4.88402061856 , 0 
0 , 0 , 1 , 0 , 4.47959183673 , 0.690171881886 , 2.50997782705 , 5.17602040816 , 0 
0 , 1 , 1 , 0 , 4.40920716113 , 0.705963302752 , 2.72673345637 , 5.05882352941 , 1 
0 , 1 , 0 , 0 , 4.50319284802 , 0.687757427044 , 2.80224719101 , 5.20561941252 , 0 
0 , 0 , 1 , 0 , 4.48724489796 , 0.689035667107 , 2.80472297911 , 5.1887755102 , 0 
0 , 1 , 0 , 1 , 4.45153061224 , 0.7015824492 , 2.71875408978 , 5.13265306122 , 1 
0 , 0 , 1 , 0 , 4.49234693878 , 0.689004040049 , 2.8024216363 , 5.19387755102 , 0 
0 , 0 , 1 , 0 , 4.48849104859 , 0.688329962185 , 2.6167374882 , 5.19181585678 , 0 
0 , 0 , 1 , 0 , 4.50319284802 , 0.687757427044 , 2.80224719101 , 5.20561941252 , 0 
1 , 1 , 1 , 1 , 4.49872122762 , 0.687264109541 , 2.80305755396 , 5.20204603581 , 1 
0 , 1 , 0 , 0 , 4.38461538462 , 0.703156098948 , 2.84651783548 , 5.07435897436 , 0 
0 , 1 , 0 , 0 , 4.50319284802 , 0.687757427044 , 2.80224719101 , 5.20561941252 , 0 
1 , 0 , 0 , 0 , 4.49171974522 , 0.6887835703 , 2.80038474595 , 5.1923566879 , 1 
0 , 1 , 0 , 0 , 4.50255102041 , 0.688124014714 , 2.80202247191 , 5.20408163265 , 1 
0 , 0 , 1 , 0 , 4.49171974522 , 0.688256977357 , 2.71425292633 , 5.1923566879 , 0 
0 , 0 , 1 , 0 , 4.45210727969 , 0.693913974656 , 2.39232920495 , 5.14687100894 , 0 
1 , 1 , 0 , 0 , 4.45095541401 , 0.70151937427 , 2.71821036107 , 5.13375796178 , 1 
0 , 1 , 1 , 1 , 4.42710997442 , 0.698484711006 , 2.75092341788 , 5.08184143223 , 1 
0 , 0 , 1 , 0 , 4.43734015345 , 0.696114666907 , 2.37448007514 , 5.13043478261 , 0 
0 , 1 , 0 , 0 , 4.46428571429 , 0.690286837637 , 2.80994085532 , 5.1556122449 , 0 
