	Authors	Title	Year	Source title	Link	Affiliations	Authors with affiliations	EID
0	"Garcia A., Martinez J., Rodriguez J., Millan M., Valderrama G., Ordonez C., Puyana J.C."	Damage-control techniques in the management of severe lung trauma	2015	Journal of Trauma and Acute Care Surgery	http://www.scopus.com/inward/record.url?eid=2-s2.0-84920833763&partnerID=40&md5=840f8fe66138dd10b6b7b7fbefbfca99	"Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia; CISALVA Institute, Universidad del ValleCali, Colombia; Department of Surgery, Fundacioen Valle del LiliCali, Colombia; Department of Intensive Care Unit, Fundacioen Valle del LiliCali, Colombia; Department of Surgery, Universidad CESCali, Colombia; Department of Surgery, Hospital Universitario del ValleCali, Colombia; Department of Surgery, University of PittsburghPittsburgh, PA, United States; Department of Surgery and IntensiveCareUnit, FundacioÇnValle del LiliCali, Colombia"	"Garcia, A., Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia, CISALVA Institute, Universidad del ValleCali, Colombia, Department of Surgery, Fundacioen Valle del LiliCali, Colombia, Department of Intensive Care Unit, Fundacioen Valle del LiliCali, Colombia, Department of Surgery and IntensiveCareUnit, FundacioÇnValle del LiliCali, Colombia; Martinez, J., Department of Intensive Care Unit, Fundacioen Valle del LiliCali, Colombia, Department of Surgery, Universidad CESCali, Colombia; Rodriguez, J., Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia, Department of Surgery, Hospital Universitario del ValleCali, Colombia; Millan, M., Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia, Department of Surgery, Hospital Universitario del ValleCali, Colombia; Valderrama, G., Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia, Department of Surgery, Hospital Universitario del ValleCali, Colombia; Ordoñez, C., Department of Surgery, CISALVA Institute, Universidad del ValleCali, Colombia, CISALVA Institute, Universidad del ValleCali, Colombia, Department of Surgery, Fundacioen Valle del LiliCali, Colombia, Department of Intensive Care Unit, Fundacioen Valle del LiliCali, Colombia; Puyana, J.C., Department of Surgery, University of PittsburghPittsburgh, PA, United States"	2-s2.0-84920833763
0	"Diaz-Valencia B.F., Calero J.M."	Photonic band gaps of a two-dimensional square lattice composed by superconducting hollow rods	2014	Physica C: Superconductivity and its Applications	http://www.scopus.com/inward/record.url?eid=2-s2.0-84906243432&partnerID=40&md5=b1ff82bcaec3d918d0ffeaec8419bdc7	"Departamento de Física, Universidad Del Valle, A.A 25360 Cali, Colombia"	"Diaz-Valencia, B.F., Departamento de Física, Universidad Del Valle, A.A 25360 Cali, Colombia; Calero, J.M., Departamento de Física, Universidad Del Valle, A.A 25360 Cali, Colombia"	2-s2.0-84906243432
0	"Senyuk B., Varney M.C.M., Lopez J.A., Wang S., Wu N., Smalyukh I.I."	Magnetically responsive gourd-shaped colloidal particles in cholesteric liquid crystals	2014	Soft Matter	http://www.scopus.com/inward/record.url?eid=2-s2.0-84904972025&partnerID=40&md5=ea2cd4a9e13886edc538cfc51950317e	"Department of Physics, University of Colorado, Boulder, CO 80309, United States; Thin Film Group, University of Valle, A.A. 25360, Cali, Colombia; Department of Chemical Engineering, Colorado School of Mines, Golden, CO 80401, United States; Department of Electrical, Computer and Energy Engineering, University of Colorado, Boulder, CO 80309, United States; Liquid Crystal Materials Research Center, Materials Science and Engineering Program, University of Colorado, Boulder, CO 80309, United States; Renewable and Sustainable Energy Institute, National Renewable Energy Laboratory, University of Colorado, Boulder, CO 80309, United States"	"Senyuk, B., Department of Physics, University of Colorado, Boulder, CO 80309, United States; Varney, M.C.M., Department of Physics, University of Colorado, Boulder, CO 80309, United States; Lopez, J.A., Department of Physics, University of Colorado, Boulder, CO 80309, United States, Thin Film Group, University of Valle, A.A. 25360, Cali, Colombia; Wang, S., Department of Chemical Engineering, Colorado School of Mines, Golden, CO 80401, United States; Wu, N., Department of Chemical Engineering, Colorado School of Mines, Golden, CO 80401, United States; Smalyukh, I.I., Department of Physics, University of Colorado, Boulder, CO 80309, United States, Department of Electrical, Computer and Energy Engineering, University of Colorado, Boulder, CO 80309, United States, Liquid Crystal Materials Research Center, Materials Science and Engineering Program, University of Colorado, Boulder, CO 80309, United States, Renewable and Sustainable Energy Institute, National Renewable Energy Laboratory, University of Colorado, Boulder, CO 80309, United States"	2-s2.0-84904972025
0	"Diaz F., Endersby N.M., Hoffmann A.A."	Genetic structure of the whitefly Bemisia tabaci populations in Colombia following a recent invasion	2014	Insect Science	http://www.scopus.com/inward/record.url?eid=2-s2.0-84906001251&partnerID=40&md5=27351747d1ae6787a35374d8ab1095d1	"Department of Biology Universidad del Valle Cali, Colombia; Department of Genetics Pest and Disease Vector Group, Bio 21 Institute, University of Melbourne Parkville, Victoria 3010 Australia"	"Díaz, F., Department of Biology Universidad del Valle Cali, Colombia; Endersby, N.M., Department of Genetics Pest and Disease Vector Group, Bio 21 Institute, University of Melbourne Parkville, Victoria 3010 Australia; Hoffmann, A.A., Department of Genetics Pest and Disease Vector Group, Bio 21 Institute, University of Melbourne Parkville, Victoria 3010 Australia"	2-s2.0-84906001251
0	"Villamizar S., Gomez D., Thomson P."	Effects of human-structure interaction in slabs [Efectos de interacción humano-estructura en losas]	2014	DYNA (Colombia)	http://www.scopus.com/inward/record.url?eid=2-s2.0-84898715370&partnerID=40&md5=b8b4d9fd785f6935b4631f00ae1266c0	"Universidad del Valle, Colombia"	"Villamizar, S., Universidad del Valle, Colombia; Gómez, D., Universidad del Valle, Colombia; Thomson, P., Universidad del Valle, Colombia"	2-s2.0-84898715370
0	"Gomez-Luna E., Fernando-Navas D., Aponte-Mayor G., Betancourt-Buitrago L.A."	"Literature review methodology for scientific and information management, through its structuring and systematization [Metodología para la revisión bibliográfica y la gestión de información de temas científicos, a través de su estructuración y sistematización]"	2014	DYNA (Colombia)	http://www.scopus.com/inward/record.url?eid=2-s2.0-84898727225&partnerID=40&md5=bb36c0bc45a468a389840fe27a9413a2	"Grupo GRALTA, Universidad del Valle, Colombia; Grupo GAOX, Universidad del Valle, Colombia"	"Gómez-Luna, E., Grupo GRALTA, Universidad del Valle, Colombia; Fernando-Navas, D., Grupo GRALTA, Universidad del Valle, Colombia; Aponte-Mayor, G., Grupo GRALTA, Universidad del Valle, Colombia; Betancourt-Buitrago, L.A., Grupo GAOX, Universidad del Valle, Colombia"	2-s2.0-84898727225
1	"Mossos N., Mejia-Carmona D.F., Tischer I."	FS-tree: Sequential association rules and first applications to protein secondary structure analysis	2014	Advances in Intelligent Systems and Computing	http://www.scopus.com/inward/record.url?eid=2-s2.0-84896810552&partnerID=40&md5=3a40a1f6becd0c727586afce60e93a3b	"School of System Engineering and Computer Science, Universidad del Valle, Colombia; Graduate School of Biomedical Sciences, Universidad del Valle, Calle 13 # 100-00, Cali, Colombia"	"Mossos, N., School of System Engineering and Computer Science, Universidad del Valle, Colombia; Mejia-Carmona, D.F., Graduate School of Biomedical Sciences, Universidad del Valle, Calle 13 # 100-00, Cali, Colombia; Tischer, I., School of System Engineering and Computer Science, Universidad del Valle, Colombia"	2-s2.0-84896810552
0	"Tabares-Trujillo M.K., Gorbea-Chavez V., Nava-Hernandez A., Rodriguez-Colorado E.S."	Postpartum vulvar necrotizing fasciitis [Fascitis necrotizante vulvar posparto]	2014	Ginecologia y Obstetricia de Mexico	http://www.scopus.com/inward/record.url?eid=2-s2.0-84893618532&partnerID=40&md5=e0b142b07dd024c423f0bb89e7bebbe3	"Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Universidad del Valle, Cali, Colombia; Médica adscrita a la Clínica de Urología Ginecológica, Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Spain; Médica uroginecóloga, Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Spain; Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, México DF, Mexico"	"Tabares-Trujillo, M.K., Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Universidad del Valle, Cali, Colombia; Gorbea-Chávez, V., Médica adscrita a la Clínica de Urología Ginecológica, Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Spain; Nava-Hernández, A., Médica uroginecóloga, Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, Spain; Rodríguez-Colorado, E.S., Instituto Nacional de Perinatología Isidro Espinosa de los Reyes, México DF, Mexico"	2-s2.0-84893618532
1	"Bedoya O., Tischer I."	Remote homology detection incorporating the context of physicochemical properties	2014	Computers in Biology and Medicine	http://www.scopus.com/inward/record.url?eid=2-s2.0-84890248789&partnerID=40&md5=1d7feb58d4ac40d895bffa7037f0fd19	"School of Computer Science and Systems Engineering. Universidad del Valle, Cali, Colombia"	"Bedoya, O., School of Computer Science and Systems Engineering. Universidad del Valle, Cali, Colombia; Tischer, I., School of Computer Science and Systems Engineering. Universidad del Valle, Cali, Colombia"	2-s2.0-84890248789
0	"AndreS D., Paz L., Caicedo E., Pedro P."	Simultaneous localization of a monocular camera and mapping of the environment in real time [Localización de una cámara monocular y mapeo simultáneo del entorno en tiempo real]	2014	DYNA (Colombia)	http://www.scopus.com/inward/record.url?eid=2-s2.0-84894573518&partnerID=40&md5=d80af42d133cccf34ec594dcaa595904	"Grupo de Percepción y Sistemas Inteligentes, Universidad del Valle, Colombia; Grupo de Robótica, Percepción y Tiempo Real, Universidad de Zaragoza, Colombia; Grupo de Percepción y Sistemas Inteligentes, Universidad del Valle, Colombia; Grupo de Robótica, Percepción y Tiempo Real, Universidad de Zaragoza, Colombia"	"AndréS, D., Grupo de Percepción y Sistemas Inteligentes, Universidad del Valle, Colombia; Paz, L., Grupo de Robótica, Percepción y Tiempo Real, Universidad de Zaragoza, Colombia; Caicedo, E., Grupo de Percepción y Sistemas Inteligentes, Universidad del Valle, Colombia; Pedro, P., Grupo de Robótica, Percepción y Tiempo Real, Universidad de Zaragoza, Colombia"	2-s2.0-84894573518
