Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
"Arana, V.A., Medina, J., Alarcon, R., Moreno, E., Heintz, L., Schäfer, H., Wist, J.","Coffee's country of origin determined by NMR: The Colombian case",2015,"Food Chemistry",175,,,500,506,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84918781219&partnerID=40&md5=c0a95cf0a6ddf451ee79fd1c3e898fca",Article,Scopus,2-s2.0-84918781219
"Ruales-Lonfat, C., Barona, J.F., Sienkiewicz, A., Bensimon, M., Vélez-Colmenares, J., Benítez, N., Pulgarín, C.","Iron oxides semiconductors are efficients for solar water disinfection: A comparison with photo-Fenton processes at neutral pH",2015,"Applied Catalysis B: Environmental",166-167,,,497,508,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917707013&partnerID=40&md5=b1762b8e0a8055a50bc1b0faf7624813",Article,Scopus,2-s2.0-84917707013
"Barona, J.F., Morales, D.F., González-Bahamón, L.F., Pulgarín, C., Benítez, L.N.","Shift from heterogeneous to homogeneous catalysis during resorcinol degradation using the solar photo-Fenton process initiated at circumneutral pH",2015,"Applied Catalysis B: Environmental",165,,,620,627,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910002471&partnerID=40&md5=03392868364d918ebc1bb67edf0526bc",Article,Scopus,2-s2.0-84910002471
"Parsa, S., Medina, C., Rodríguez, V.","Sources of pest resistance in cassava",2015,"Crop Protection",68,,,79,84,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920070535&partnerID=40&md5=0fdb7a3d1dda239ddf3a97312c319a8c",Article,Scopus,2-s2.0-84920070535
"Chávez, J.C., Valencia, J.A., Jaramillo, G.A., Coronado, J.J., Rodríguez, S.A.","Failure analysis of a Pelton impeller",2015,"Engineering Failure Analysis",48,,,297,307,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920878397&partnerID=40&md5=e9cc2d746ec4b610f2296463b93721f8",Article,Scopus,2-s2.0-84920878397
"Haggar, J., Asigbaase, M., Bonilla, G., Pico, J., Quilo, A.","Tree diversity on sustainably certified and conventional coffee farms in Central America",2015,"Biodiversity and Conservation",,,,,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920829932&partnerID=40&md5=37f6994dcf1fddca9a95aeb0b1c330e8",Article in Press,Scopus,2-s2.0-84920829932
"Caicedo-Ortiz, H.E., Santiago-Cortes, E., López-Bonilla, J., Castañeda, H.O.","Fractal dimension and turbulence in giant HII regions",2015,"Journal of Physics: Conference Series",582,1, 012049,,,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921033820&partnerID=40&md5=4950d7f96a03c0c9d812abd60ca0193f",Conference Paper,Scopus,2-s2.0-84921033820
"Orozco-Gutierrez, M.L., Petrone, G., Ramirez-Scarpetta, J.M., Spagnuolo, G., Ramos-Paja, C.A.","A method for the fast estimation of the maximum power points in mismatched PV strings",2015,"Electric Power Systems Research",121,,,115,125,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919800923&partnerID=40&md5=1e02a5004fdd95862372e7c75eaf095d",Article,Scopus,2-s2.0-84919800923
"Pérez Taborda, J.A., Caicedo, J.C., Grisales, M., Saldarriaga, W., Riascos, H.","Deposition pressure effect on chemical, morphological and optical properties of binary Al-nitrides",2015,"Optics and Laser Technology",69,,,92,103,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921028978&partnerID=40&md5=0f25d47b25e4f4900c2b7ca930b4a369",Article,Scopus,2-s2.0-84921028978
"Madera-Parra, C.A., Peña-Salamanca, E.J., Peña, M.R., Rousseau, D.P.L., Lens, P.N.L.","Phytoremediation of Landfill Leachate with Colocasia esculenta, Gynerum sagittatum and Heliconia psittacorum in Constructed Wetlands",2015,"International Journal of Phytoremediation",17,1,,16,24,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906659284&partnerID=40&md5=c8ed8f3c479c62762fd28c0a0c78dfa4",Article,Scopus,2-s2.0-84906659284
